Naziv usluge;Maloprodajna cijena;Poseban oblik prodaje;Sidrena cijena
Pranje i glačanje - MAJICA KRATKI RUKAV (KOM);1,30 EUR;NE;1,30 EUR
Pranje ili glačanje - MAJICA KRATKI RUKAV (KOM);0,90 EUR;NE;0,90 EUR
Pranje i glačanje - MAJICA DUGI RUKAV (KOM);1,60 EUR;NE;1,60 EUR
Pranje ili glačanje - MAJICA DUGI RUKAV (KOM);1,30 EUR;NE;1,30 EUR
Pranje i glačanje - MAJICA S KAPULJAČOM (KOM);2,00 EUR;NE;2,00 EUR
Pranje ili glačanje - MAJICA S KAPULJAČOM (KOM);1,60 EUR;NE;1,60 EUR
Pranje i glačanje - HLAČE KRATKE (KOM);1,30 EUR;NE;1,30 EUR
Pranje ili glačanje - HLAČE KRATKE (KOM);0,90 EUR;NE;0,90 EUR
Pranje i glačanje - HLAČE DUGE (KOM);1,70 EUR;NE;1,70 EUR
Pranje ili glačanje - HLAČE DUGE (KOM);1,30 EUR;NE;1,30 EUR
Pranje i glačanje - HLAČE NA CRTU (KOM);2,50 EUR;NE;2,50 EUR
Pranje ili glačanje - HLAČE NA CRTU (KOM);2,30 EUR;NE;2,30 EUR
Pranje i glačanje - KOŠULJA KRATKI RUKAV (KOM);1,80 EUR;NE;1,80 EUR
Pranje ili glačanje - KOŠULJA KRATKI RUKAV (KOM);1,60 EUR;NE;1,60 EUR
Pranje i glačanje - KOŠULJA DUGI RUKAV (KOM);2,00 EUR;NE;2,00 EUR
Pranje ili glačanje - KOŠULJA DUGI RUKAV (KOM);1,80 EUR;NE;1,80 EUR
Pranje i glačanje - HALJINA KRATKA (KOM);2,00 EUR;NE;2,00 EUR
Pranje ili glačanje - HALJINA KRATKA (KOM);1,70 EUR;NE;1,70 EUR
Pranje i glačanje - HALJINA DUGA (KOM);2,50 EUR;NE;2,50 EUR
Pranje ili glačanje - HALJINA DUGA (KOM);2,10 EUR;NE;2,10 EUR
Pranje i glačanje - SUKNJA KRATKA (KOM);1,80 EUR;NE;1,80 EUR
Pranje ili glačanje - SUKNJA KRATKA (KOM);1,40 EUR;NE;1,40 EUR
Pranje i glačanje - SUKNJA DUGA (KOM);2,00 EUR;NE;2,00 EUR
Pranje ili glačanje - SUKNJA DUGA (KOM);1,80 EUR;NE;1,80 EUR
Pranje i glačanje - JAKNA KRATKA/TANKA (KOM);7,00 EUR;NE;7,00 EUR
Pranje ili glačanje - JAKNA KRATKA/TANKA (KOM);6,00 EUR;NE;6,00 EUR
Pranje i glačanje - JAKNA DUGA/DEBELA (KOM);9,00 EUR;NE;9,00 EUR
Pranje ili glačanje - JAKNA DUGA/DEBELA (KOM);8,50 EUR;NE;8,50 EUR
Pranje i glačanje - JAKNA PERNATA (KOM);10,00 EUR;NE;10,00 EUR
Pranje i glačanje - RADNI MANTIL (KOM);2,00 EUR;NE;2,00 EUR
Pranje ili glačanje - RADNI MANTIL (KOM);1,80 EUR;NE;1,80 EUR
Pranje i glačanje - DONJE RUBLJE (KOM);0,50 EUR;NE;0,50 EUR
